,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
1000,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,I,A,A,A,E,E,H,F,A,BI,CS,A,AN,AE,E,J,DJ,0.455585,0.555782,0.527991,0.373816,0.422268,0.317735,0.392775,0.25918,0.35897,0.42828,0.327915,0.32157,0.276878,0.283699,726.22
1040,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,B,B,B,C,B,D,C,A,A,A,A,A,D,D,C,E,A,D,T,G,A,A,B,G,E,F,K,K,BI,CO,A,A,AJ,A,P,HV,0.465671,0.555782,0.280933,0.364302,0.397069,0.752648,0.557151,0.37194,0.44767,0.61984,0.4922,0.481306,0.768525,0.408085,6274.62
1064,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,D,B,C,B,B,B,A,A,A,A,A,D,D,D,E,A,A,P,I,A,A,B,G,G,F,F,D,BI,EG,I,J,AT,C,K,HN,0.501862,0.620805,0.692825,0.473202,0.551723,0.510936,0.931179,0.45883,0.5084,0.45017,0.705501,0.692256,0.354344,0.381767,2915.17
1576,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,H,D,D,C,E,C,D,T,F,A,A,A,E,E,H,I,K,BI,CO,A,J,AS,F,M,DP,0.405861,0.737068,0.419161,0.412789,0.491114,0.439496,0.402942,0.57187,0.42289,0.56081,0.310961,0.305148,0.562997,0.383452,3100.3
1840,A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,D,D,B,D,C,B,B,B,A,A,A,B,H,D,B,D,E,A,A,P,F,F,A,A,H,G,F,E,D,BI,BT,A,AR,AO,A,J,KI,0.550978,0.488789,0.592681,0.318422,0.364322,0.520335,0.793873,0.29758,0.55233,0.53328,0.742852,0.729856,0.295948,0.416004,1730.84
2822,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,E,A,P,F,A,C,A,D,E,J,G,B,BI,EG,C,E,AE,A,K,CK,0.305371,0.620805,0.711159,0.412789,0.302678,0.220282,0.314608,0.27797,0.38249,0.31003,0.24541,0.241676,0.298734,0.810054,2670.68
2888,B,B,A,B,B,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,H,D,B,D,E,C,A,P,F,Q,A,B,E,F,I,F,B,G,CO,C,N,AX,A,K,DP,0.520698,0.488789,0.54977,0.452887,0.499798,0.304628,0.381883,0.58354,0.46226,0.38016,0.341813,0.352251,0.339244,0.599353,3437.11
3136,B,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,B,B,B,C,B,B,B,A,A,A,B,H,D,E,D,E,D,A,P,F,C,A,B,C,E,K,G,B,K,EL,A,E,BM,A,K,CB,0.232722,0.021677,0.419161,0.364302,0.38056,0.158456,0.186075,0.24564,0.20266,0.16186,0.152378,0.153372,0.197816,0.808673,2294.59
3286,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,A,D,D,C,E,C,D,T,O,A,A,A,G,G,G,H,K,BI,DX,A,K,BM,L,L,HK,0.472892,0.681761,0.692825,0.564742,0.594196,0.516811,0.512119,0.80058,0.44352,0.63026,0.705501,0.692256,0.51666,0.361483,2220.99
3487,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,A,B,D,A,A,C,B,D,B,A,A,A,B,H,C,B,C,E,E,D,T,F,A,A,A,H,F,I,K,K,AB,EL,C,AN,AJ,A,O,FR,0.204992,0.100099,0.150744,0.259793,0.482436,0.349885,0.376076,0.33906,0.29095,0.32935,0.377724,0.40609,0.533284,0.257826,1033.95
