row ID,#splits (level 0),#splits (level 1),#splits (level 2),#candidates (level 0),#candidates (level 1),#candidates (level 2),Score,,Score
cat102,6,8,0,7,15,29,1.39047619,1.39047619,100.00%
cat89,7,9,0,8,22,21,1.284090909,1.39047619,92.35%
cat105,5,11,0,9,22,33,1.055555556,1.39047619,75.91%
cat107,4,3,0,5,12,24,1.05,1.39047619,75.51%
cat101,7,7,0,10,27,25,0.959259259,1.39047619,68.99%
cat114,7,5,0,13,13,19,0.923076923,1.39047619,66.39%
cat111,7,6,0,14,15,27,0.9,1.39047619,64.73%
cat115,3,3,0,5,17,22,0.776470588,1.39047619,55.84%
cat104,6,6,0,15,19,29,0.715789474,1.39047619,51.48%
cat103,4,8,0,13,20,21,0.707692308,1.39047619,50.90%
cat88,3,5,0,8,17,34,0.669117647,1.39047619,48.12%
cat106,4,6,0,10,23,24,0.660869565,1.39047619,47.53%
cat90,3,5,0,10,17,21,0.594117647,1.39047619,42.73%
cat92,2,4,0,7,15,36,0.552380952,1.39047619,39.73%
cat75,4,1,0,9,21,33,0.492063492,1.39047619,35.39%
cat94,2,7,0,9,27,26,0.481481481,1.39047619,34.63%
cat70,2,1,0,5,18,25,0.455555556,1.39047619,32.76%
cat73,2,0,0,5,15,34,0.4,1.39047619,28.77%
cat112,2,2,0,7,18,32,0.396825397,1.39047619,28.54%
cat100,1,3,0,9,11,19,0.383838384,1.39047619,27.60%
cat99,1,5,0,6,25,31,0.366666667,1.39047619,26.37%
cat68,2,1,0,7,20,20,0.335714286,1.39047619,24.14%
cat55,1,0,0,3,13,23,0.333333333,1.39047619,23.97%
cat91,1,3,0,6,24,23,0.291666667,1.39047619,20.98%
cat7,0,4,0,7,15,33,0.266666667,1.39047619,19.18%
cat96,1,1,0,5,16,26,0.2625,1.39047619,18.88%
cat20,2,1,0,10,18,30,0.255555556,1.39047619,18.38%
cat15,2,0,0,8,13,25,0.25,1.39047619,17.98%
cat84,0,3,0,8,13,31,0.230769231,1.39047619,16.60%
cat60,1,0,0,5,13,26,0.2,1.39047619,14.38%
cat82,0,3,0,12,15,29,0.2,1.39047619,14.38%
cat22,1,1,0,9,16,30,0.173611111,1.39047619,12.49%
cat74,0,3,0,8,20,35,0.15,1.39047619,10.79%
cat62,1,1,0,10,21,27,0.147619048,1.39047619,10.62%
cat59,1,0,0,7,15,30,0.142857143,1.39047619,10.27%
cat97,2,0,0,14,16,31,0.142857143,1.39047619,10.27%
cat79,0,1,0,9,8,28,0.125,1.39047619,8.99%
cat2,0,2,0,6,17,25,0.117647059,1.39047619,8.46%
cat30,0,2,0,8,18,28,0.111111111,1.39047619,7.99%
cat56,1,0,0,9,14,31,0.111111111,1.39047619,7.99%
cat77,0,2,0,3,18,28,0.111111111,1.39047619,7.99%
cat34,0,1,0,6,11,23,0.090909091,1.39047619,6.54%
cat64,1,0,0,12,20,28,0.083333333,1.39047619,5.99%
cat33,0,1,0,9,14,26,0.071428571,1.39047619,5.14%
cat57,0,1,0,11,14,25,0.071428571,1.39047619,5.14%
cat69,1,0,0,14,13,32,0.071428571,1.39047619,5.14%
cat87,0,1,0,6,14,31,0.071428571,1.39047619,5.14%
cat72,0,1,0,9,15,19,0.066666667,1.39047619,4.79%
cat18,0,1,0,5,16,27,0.0625,1.39047619,4.49%
cat27,0,1,0,5,16,18,0.0625,1.39047619,4.49%
cat43,0,1,0,14,17,32,0.058823529,1.39047619,4.23%
cat65,0,1,0,9,17,23,0.058823529,1.39047619,4.23%
cat80,0,1,0,10,17,22,0.058823529,1.39047619,4.23%
cat53,0,1,0,9,19,17,0.052631579,1.39047619,3.79%
cat5,0,1,0,7,20,19,0.05,1.39047619,3.60%
cat23,0,1,0,12,20,30,0.05,1.39047619,3.60%
cat39,0,1,0,12,20,24,0.05,1.39047619,3.60%
cat47,0,1,0,9,20,29,0.05,1.39047619,3.60%
cat16,0,1,0,9,21,26,0.047619048,1.39047619,3.42%
cont8,0,1,0,5,21,20,0.047619048,1.39047619,3.42%
cat48,0,1,0,8,22,23,0.045454545,1.39047619,3.27%
cat1,0,0,0,11,24,27,0,1.39047619,0.00%
cat3,0,0,0,11,13,34,0,1.39047619,0.00%
cat4,0,0,0,10,18,28,0,1.39047619,0.00%
cat6,0,0,0,7,14,38,0,1.39047619,0.00%
cat8,0,0,0,8,24,31,0,1.39047619,0.00%
cat9,0,0,0,7,16,20,0,1.39047619,0.00%
cat10,0,0,0,7,14,19,0,1.39047619,0.00%
cat11,0,0,0,16,15,32,0,1.39047619,0.00%
