ID,PredictedProb
0,0.58
1,0.933333333
2,0.773333333
7,0.726666667
10,0.746666667
11,0.706666667
13,0.913333333
14,0.506666667
15,0.946666667
16,0.926666667
17,0.846666667
18,0.733333333
19,0.946666667
20,0.74
25,0.893333333
26,0.8
29,0.806666667
38,0.966666667
41,0.946666667
44,0.72
45,0.606666667
47,0.82
48,0.786666667
49,0.833333333
50,0.926666667
53,0.553333333
56,0.533333333
59,0.86
60,0.633333333
64,0.886666667
65,0.913333333
66,0.826666667
68,0.92
69,0.706666667
70,0.9
71,0.74
72,0.753333333
76,0.746666667
80,0.92
82,0.66
83,0.96
85,0.9
86,0.926666667
87,0.8
89,0.926666667
97,0.853333333
99,0.653333333
101,0.886666667
102,0.893333333
103,0.573333333
104,0.76
106,0.92
107,0.646666667
109,0.873333333
111,0.6
113,0.926666667
114,0.533333333
118,0.833333333
119,0.8
120,0.866666667
123,0.753333333
128,0.553333333
129,0.806666667
131,0.826666667
133,0.68
134,0.686666667
136,0.953333333
137,0.773333333
139,0.926666667
140,0.833333333
142,0.766666667
144,0.7
146,0.933333333
147,0.886666667
148,0.966666667
150,0.733333333
151,0.84
152,0.986666667
155,0.986666667
158,0.933333333
159,0.7
160,0.926666667
161,0.666666667
165,0.96
166,0.613333333
170,1
171,0.773333333
174,0.826666667
175,0.806666667
179,0.753333333
180,0.946666667
181,0.873333333
184,0.793333333
185,0.666666667
187,0.66
188,0.82
190,0.853333333
191,0.8
192,0.773333333
193,0.893333333
196,0.926666667
197,0.546666667
198,0.76
205,0.94
211,0.786666667
213,0.733333333
214,0.933333333
217,0.76
218,0.933333333
221,0.853333333
222,0.6
225,0.68
229,0.6
236,0.693333333
237,0.94
238,0.773333333
239,0.906666667
242,0.673333333
245,0.946666667
246,0.793333333
247,0.906666667
248,0.953333333
254,0.946666667
255,0.593333333
257,0.966666667
259,0.7
264,0.946666667
270,0.586666667
272,0.726666667
274,0.54
275,0.593333333
278,0.806666667
280,0.726666667
281,0.626666667
282,0.666666667
283,0.86
284,0.953333333
286,0.94
287,0.913333333
288,0.873333333
289,0.926666667
290,0.673333333
291,0.86
294,0.573333333
295,0.793333333
297,0.586666667
299,0.693333333
305,0.7
307,0.68
308,0.866666667
313,0.76
314,0.926666667
315,0.933333333
316,0.946666667
317,0.913333333
319,0.62
322,0.88
323,0.74
324,0.76
326,0.94
327,0.806666667
329,0.966666667
330,0.966666667
331,0.613333333
336,0.553333333
337,0.5
338,0.84
340,0.96
345,0.626666667
347,0.893333333
348,0.92
350,0.953333333
352,0.666666667
356,0.966666667
357,0.98
358,0.966666667
359,0.886666667
361,0.873333333
363,0.513333333
364,0.593333333
368,0.926666667
376,0.993333333
378,0.853333333
382,0.94
384,0.64
385,1
388,0.86
389,0.98
391,0.76
392,0.826666667
395,0.886666667
396,0.8
397,0.913333333
399,0.753333333
404,0.913333333
407,0.54
409,0.9
410,0.8
413,0.666666667
414,0.766666667
416,0.726666667
418,0.633333333
419,0.76
420,0.94
422,0.946666667
423,0.713333333
427,0.833333333
429,0.966666667
430,0.62
431,0.866666667
432,0.78
433,0.846666667
434,0.8
436,0.766666667
437,0.953333333
451,0.906666667
452,0.806666667
454,0.693333333
457,0.926666667
458,0.84
460,0.56
461,0.953333333
462,0.933333333
463,0.866666667
465,0.946666667
467,0.886666667
473,0.886666667
474,0.946666667
480,0.92
481,0.726666667
483,0.96
484,0.513333333
485,0.58
487,0.746666667
490,0.973333333
491,0.713333333
492,0.8
496,0.746666667
497,0.86
498,0.786666667
499,0.806666667
