Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,-0.592148026,1,0,-0.502163137,2
1,1,0,0.638430444,1,0,0.786403618,1
1,3,0,-0.284503408,0,0,-0.488579852,2
1,1,0,0.407696981,1,0,0.42049407,2
0,3,1,0.407696981,0,0,-0.486064428,2
0,3,1,4.37189E-15,0,0,-0.47784805,0
0,1,1,1.869008914,0,0,0.395591381,2
0,3,1,-2.130371113,3,1,-0.223957338,2
1,3,0,-0.207592254,0,2,-0.424017995,2
1,2,0,-1.207437261,1,0,-0.04293139,1
1,3,0,-1.976548804,1,1,-0.311997147,2
1,1,0,2.176653531,0,0,-0.113781804,2
0,3,1,-0.745970334,0,0,-0.486064428,2
0,3,1,0.715341598,1,5,-0.01869881,2
0,3,0,-1.207437261,0,0,-0.490004587,2
1,2,0,1.945920068,0,0,-0.326083517,2
0,3,1,-2.130371113,4,1,-0.061964088,0
1,2,1,4.37189E-15,0,0,-0.386453672,2
0,3,0,0.100052363,1,0,-0.285836747,2
1,3,0,4.37189E-15,0,0,-0.502666221,1
0,2,1,0.407696981,0,0,-0.124849666,2
1,2,1,0.330785827,0,0,-0.386453672,2
1,3,0,-1.130526106,0,0,-0.486482995,0
1,1,1,-0.1306811,0,0,0.066322492,2
0,3,0,-1.668904187,3,1,-0.223957338,2
1,3,0,0.638430444,1,5,-0.016434929,2
0,3,1,4.37189E-15,0,0,-0.502666221,1
0,1,1,-0.822881489,3,2,4.6443926,2
1,3,0,4.37189E-15,0,0,-0.489501503,0
0,3,1,4.37189E-15,0,0,-0.489167454,2
0,1,1,0.792252753,0,0,-0.090221345,1
1,1,0,4.37189E-15,1,0,2.300436803,1
1,3,0,4.37189E-15,0,0,-0.492101444,0
0,2,1,2.791942766,0,0,-0.436762135,2
0,1,1,-0.1306811,1,0,1.005496973,1
0,1,1,0.946075061,1,0,0.398358346,2
1,3,1,4.37189E-15,0,0,-0.502581703,1
0,3,1,-0.66905918,0,0,-0.486064428,2
0,3,0,-0.899792643,2,0,-0.285836747,2
1,3,0,-1.207437261,1,0,-0.42183662,1
0,3,0,0.792252753,1,0,-0.457388605,2
0,2,0,-0.207592254,1,0,-0.225466592,2
0,3,1,4.37189E-15,0,0,-0.489167454,1
1,2,0,-2.053459959,1,2,0.188656575,1
1,3,0,-0.822881489,0,0,-0.489501503,0
0,3,1,4.37189E-15,0,0,-0.486064428,2
0,3,1,4.37189E-15,1,0,-0.33614521,0
1,3,0,4.37189E-15,0,0,-0.492101444,0
0,3,1,4.37189E-15,2,0,-0.211798788,1
0,3,0,-0.899792643,1,0,-0.289861424,2
0,3,1,-1.745815341,4,1,0.150589167,2
0,3,1,-0.66905918,0,0,-0.491095275,2
1,1,0,1.484453142,1,0,0.895993561,1
1,2,0,-0.053769945,1,0,-0.124849666,2
0,1,1,2.715031612,0,1,0.599173631,1
1,1,1,4.37189E-15,0,0,0.066322492,2
1,2,0,-0.66905918,0,0,-0.436762135,2
0,3,1,-0.092225522,0,0,-0.502581703,1
1,2,0,-1.89963765,1,2,-0.089633742,2
0,3,1,-1.438170724,5,2,0.295729082,2
0,3,1,-0.592148026,0,0,-0.502581703,1
1,1,0,0.638430444,0,0,0.961813129,0
0,1,1,1.176808524,1,0,1.031741892,2
0,3,1,-1.976548804,3,2,-0.086615234,2
0,1,1,4.37189E-15,0,0,-0.090221345,1
1,3,1,4.37189E-15,1,1,-0.341260574,1
1,2,0,-0.053769945,0,0,-0.436762135,2
0,3,1,-0.822881489,0,0,-0.483885066,2
1,3,0,-0.976703798,4,2,-0.488579852,2
0,3,1,-0.284503408,2,0,-0.473738855,2
0,2,1,0.176963518,0,0,-0.436762135,2
0,3,0,-1.053614952,5,2,0.295729082,2
0,2,1,-0.66905918,0,0,0.831011126,2
